filename,width,height,class,xmin,ymin,xmax,ymax
img838.jpg,130,134,dendrite,35,44,49,58
img838.jpg,130,134,dendrite,13,30,27,44
img838.jpg,130,134,dendrite,43,92,57,106
img1295.jpg,132,130,dendrite,54,47,68,61
img1295.jpg,132,130,dendrite,35,101,49,115
img1295.jpg,132,130,dendrite,89,75,103,89
img1295.jpg,132,130,dendrite,104,53,118,67
img1295.jpg,132,130,dendrite,78,41,92,55
img386.jpg,128,128,dendrite,94,59,108,73
img386.jpg,128,128,dendrite,23,13,37,27
img386.jpg,128,128,dendrite,63,74,77,88
img386.jpg,128,128,dendrite,105,71,119,85
img386.jpg,128,128,dendrite,48,45,62,59
img507.jpg,142,140,dendrite,65,102,79,116
img507.jpg,142,140,dendrite,75,58,89,72
img507.jpg,142,140,dendrite,19,71,33,85
img1535.jpg,132,136,dendrite,72,75,86,89
img1535.jpg,132,136,dendrite,53,20,67,34
img178.jpg,146,134,dendrite,62,52,76,66
img178.jpg,146,134,dendrite,84,24,98,38
img178.jpg,146,134,dendrite,51,5,65,19
img1653.jpg,134,198,dendrite,74,96,88,110
img1653.jpg,134,198,dendrite,42,80,56,94
img651.jpg,188,144,dendrite,116,77,131,91
img651.jpg,188,144,dendrite,84,35,98,49
img651.jpg,188,144,dendrite,131,69,145,83
img651.jpg,188,144,dendrite,124,57,138,71
img651.jpg,188,144,dendrite,111,97,125,111
img651.jpg,188,144,dendrite,106,114,120,128
img651.jpg,188,144,dendrite,73,79,87,93
img651.jpg,188,144,dendrite,84,52,98,66
img1174.jpg,128,128,dendrite,2,53,16,67
img1174.jpg,128,128,dendrite,42,63,56,77
img1174.jpg,128,128,dendrite,70,39,84,53
img1174.jpg,128,128,dendrite,77,99,91,113
img1174.jpg,128,128,dendrite,94,61,108,75
img1233.jpg,170,184,dendrite,70,117,84,131
img1233.jpg,170,184,dendrite,58,81,72,95
img1233.jpg,170,184,dendrite,72,67,86,81
img1233.jpg,170,184,dendrite,121,52,135,66
img1233.jpg,170,184,dendrite,105,93,119,107
img1233.jpg,170,184,dendrite,24,96,38,110
img1233.jpg,170,184,dendrite,86,33,100,47
img1233.jpg,170,184,dendrite,124,37,138,51
img1261.jpg,132,144,dendrite,48,106,62,120
img1261.jpg,132,144,dendrite,64,73,78,87
img1261.jpg,132,144,dendrite,82,34,96,48
img193.jpg,146,134,dendrite,25,70,39,84
img193.jpg,146,134,dendrite,66,60,80,74
img193.jpg,146,134,dendrite,89,19,103,33
img193.jpg,146,134,dendrite,54,5,68,19
img712.jpg,178,148,dendrite,105,125,119,139
img712.jpg,178,148,dendrite,64,81,78,95
img712.jpg,178,148,dendrite,85,63,99,77
img712.jpg,178,148,dendrite,81,33,95,47
img1709.jpg,146,148,dendrite,86,69,100,83
img1709.jpg,146,148,dendrite,89,101,103,115
img1709.jpg,146,148,dendrite,62,63,76,77
img1027.jpg,140,134,dendrite,57,64,71,78
img1027.jpg,140,134,dendrite,42,15,56,29
img1230.jpg,170,184,dendrite,70,117,84,131
img1230.jpg,170,184,dendrite,56,78,70,92
img1230.jpg,170,184,dendrite,72,69,86,83
img1230.jpg,170,184,dendrite,123,51,137,65
img1230.jpg,170,184,dendrite,103,91,117,105
img1230.jpg,170,184,dendrite,24,93,38,107
img1230.jpg,170,184,dendrite,88,31,102,45
img1230.jpg,170,184,dendrite,125,37,139,51
img1640.jpg,134,198,dendrite,73,97,87,111
img1640.jpg,134,198,dendrite,41,83,55,97
img335.jpg,128,128,dendrite,46,79,60,93
img335.jpg,128,128,dendrite,84,7,98,21
img335.jpg,128,128,dendrite,63,38,77,52
img335.jpg,128,128,dendrite,11,72,25,86
img443.jpg,148,138,dendrite,59,41,73,55
img443.jpg,148,138,dendrite,60,110,74,124
img443.jpg,148,138,dendrite,107,98,121,112
img443.jpg,148,138,dendrite,100,44,114,58
img805.jpg,212,156,dendrite,74,111,88,125
img805.jpg,212,156,dendrite,75,98,89,112
img805.jpg,212,156,dendrite,110,33,124,47
img805.jpg,212,156,dendrite,138,93,152,107
img805.jpg,212,156,dendrite,69,56,83,70
img746.jpg,178,148,dendrite,58,92,72,106
img746.jpg,178,148,dendrite,39,35,53,49
img746.jpg,178,148,dendrite,86,48,100,62
img746.jpg,178,148,dendrite,96,78,110,92
img746.jpg,178,148,dendrite,71,95,85,109
img633.jpg,128,128,dendrite,67,68,81,82
img579.jpg,132,136,dendrite,107,25,121,39
img579.jpg,132,136,dendrite,22,1,36,15
img579.jpg,132,136,dendrite,56,66,70,80
img970.jpg,148,138,dendrite,70,87,84,101
img970.jpg,148,138,dendrite,73,57,87,71
img970.jpg,148,138,dendrite,80,27,94,41
img970.jpg,148,138,dendrite,29,53,43,67
